name,success_probability
Wetpaint,0.99
Fitbit,0.83
Demandbase,0.98
Cardiosolutions,0.38
Wikinvest,0.78
Jogabo,0.18
iCharts,0.8
Icount.com,0.14
Rev Worldwide,0.13
Sportsvite,0.22
ChatID,0.84
Brand.net,0.93
C2FO,0.54
Quant the News,0.12
Platfora,0.88
Foodista,0.46
Funny Or Die,0.85
SoMoLend,0.63
Guavus,0.76
Happy Inspector,0.26
Webvanta,0.33
uSamp,0.95
Aver Informatics,0.29
Rubicon Project,1.0
SailPoint Technologies,0.83
Bitcasa,0.83
Balluun,0.63
FitnessKeeper,0.91
TapnScrap,0.03
EnerTrac,0.25
Collective Bias,0.97
Pingup,0.76
Billfish Software,0.17
orderbolt,0.41
Niveus Medical,0.16
Greenphire,0.32
Reputation.com,0.99
Personalis,0.84
West World Media,0.16
Buck,0.77
Spectrum Bridge,0.75
Credorax,0.35
"LeadSpend, Inc.",0.29
23andMe,1.0
Plastyc,0.61
Xactly Corp,0.94
i.TV,0.39
Simpirica Spine,0.42
Expensify,0.83
BuildingLayer,0.28
Automattic,1.0
Pricing Engine,0.53
Aventura HQ,0.77
Inadco,0.95
Buzzd,0.83
Nimble Storage,0.98
Hall,0.55
Veodia,0.74
DealBase Corporation,0.83
Cliqset,0.3
JustFab,0.79
uTest,0.85
Bridge Energy Group,0.65
Startapp,0.46
Alice.com,0.5
Payoneer,0.93
Pathable,0.17
FirstFuel Software,0.82
Altermune Technologies,0.1
Bespoke Global,0.19
OneRoof Energy,0.14
SalesLoft,0.58
Brightstorm,0.16
Unigo,0.68
PacketTrap Networks,0.75
FieldSolutions,0.47
RiseSmart,0.93
Trion Worlds,0.95
CloudMine,0.82
World Golf Tour,0.83
Rally.org,0.91
Heatwave Interactive,0.04
GameSalad,0.85
OrderWithMe,0.69
Lumenergi,0.71
Buddy,0.95
Big In Japan,0.24
Finsphere,0.91
Smule,0.96
Unmetric,0.87
TrialPay,0.99
BitWine,0.43
Modria,0.92
Yapta,0.92
FamilyLink,0.88
eXelate,1.0
BitGravity,0.92
PicketReport.com,0.1
Savings.com,0.93
Livingly Media,0.89
Gigya,1.0
Synergy Hub,0.05
Reframe It,0.76
Sailthru,0.96
DoesThatMakeSense.com,0.43
Poptent,0.75
Nexenta Systems,0.96
Soonr,0.99
Britely,0.83
Disqus,0.99
Lift Worldwide,0.75
BidPal Network,0.79
Dailybreak Media,0.99
Cloudera,1.0
Vuclip,0.99
Booyah,0.92
MinuteKey,0.54
Thismoment,0.98
FanSnap,0.87
Pantheon,0.88
Salorix,0.83
Formspring,0.89
ReverbNation,0.91
SureSpeak,0.07
NetSocket,0.21
Rebel Monkey,0.2
isocket,0.99
Emotive Communications,0.35
Sophia Search,0.76
ShopAdvisor,0.61
PictureMe Universe,0.08
BrightRoll,1.0
MoBeam,0.49
StatSheet,0.49
RepairPal,0.65
Diffbot,0.79
Dipity,0.87
DogTime Media,0.61
Azuki Systems,0.96
Parking Panda,0.61
TrackVia,0.86
SOASTA,0.98
RockYou,0.99
Yipit,0.88
Virgance,0.79
Cheezburger,0.62
Tower Cloud,0.81
MyBuys,0.99
Podaddies,0.48
Sonian,0.92
Selectable Media,0.31
Yieldex,0.98
Xeround,0.89
StudyBlue,0.85
Lookout,0.99
Wrapp,0.86
Lovely,0.71
Billeo,0.92
Education.com,0.82
Liquor.com,0.71
Spree Commerce,0.26
SynapSense,0.97
Blueseed,0.85
Infoaxe,0.65
Eyeview,0.94
Caring.com,0.93
LuckyCal,0.12
Safe Shepherd,0.42
eSpark,0.49
Clearleap,0.92
Quantopian,0.71
KIXEYE,0.86
IDC Projects,0.23
Checkmarx,0.39
Kynetx,0.45
CheckInOn.Me,0.12
KaChing!,0.38
Datacastle,0.62
Cleave Biosciences,0.73
RescueTime,0.91
OvaScience,0.83
Robot App Store,0.09
Phone.com,0.77
Taboola,0.99
Love With Food,0.27
eRecycling Corps,0.73
RollSale,0.39
Saltlick Labs,0.02
Kuznech,0.64
Agradis,0.45
BCR Environmental,0.35
Contactually,0.7
SeamlessDocs (bizodo),0.45
PromoJam,0.4
Twilio,1.0
Martini Media Inc,0.99
Vobi,0.51
Project Playlist,0.76
Datto,0.85
SAGE Therapeutics,0.81
EcoSense Lighting,0.69
Tidemark,0.65
Wisegate,0.14
Arteaus Therapeutics,0.64
EndoEvolution,0.26
Remitly,0.81
MediaMath,0.97
GoChime,0.67
Dermira,0.76
LikeBright,0.21
Boundless,0.68
Firefly BioWorks,0.17
Ensighten,0.72
FlexMinder,0.75
Asset Vue LLC.,0.09
OurStage,0.63
